algorithm,minrun,dataset_type,n,run_id,time_ms,comparisons,moves
TimSort,64,sorted,10000,0,0.0706,0,0
TimSort,128,sorted,10000,0,0.0797,0,0
MergeSort,NA,sorted,10000,1,2.5997,69008,133616
TimSort,16,sorted,10000,1,0.0901,0,0
TimSort,32,sorted,10000,1,0.0639,0,0
TimSort,64,sorted,10000,1,0.0642,0,0
TimSort,128,sorted,10000,1,0.0631,0,0
MergeSort,NA,sorted,10000,2,2.5818,69008,133616
TimSort,16,sorted,10000,2,0.0802,0,0
TimSort,32,sorted,10000,2,0.0835,0,0
TimSort,64,sorted,10000,2,0.1033,0,0
TimSort,128,sorted,10000,2,0.0669,0,0
MergeSort,NA,sorted,10000,3,3.8936,69008,133616
TimSort,16,sorted,10000,3,0.0793,0,0
TimSort,32,sorted,10000,3,0.0673,0,0
TimSort,64,sorted,10000,3,0.0636,0,0
TimSort,128,sorted,10000,3,0.0632,0,0
MergeSort,NA,sorted,10000,4,3.9143,69008,133616
TimSort,16,sorted,10000,4,0.0798,0,0
TimSort,32,sorted,10000,4,0.0989,0,0
TimSort,64,sorted,10000,4,0.0635,0,0
TimSort,128,sorted,10000,4,0.0729,0,0
MergeSort,NA,sorted,50000,0,16.7754,401952,784464
TimSort,16,sorted,50000,0,0.5727,0,0
TimSort,32,sorted,50000,0,0.3849,0,0
TimSort,64,sorted,50000,0,0.3084,0,0
TimSort,128,sorted,50000,0,0.3084,0,0
MergeSort,NA,sorted,50000,1,15.4917,401952,784464
TimSort,16,sorted,50000,1,0.4179,0,0
TimSort,32,sorted,50000,1,0.3366,0,0
TimSort,64,sorted,50000,1,0.3129,0,0
TimSort,128,sorted,50000,1,0.3175,0,0
MergeSort,NA,sorted,50000,2,15.9785,401952,784464
TimSort,16,sorted,50000,2,0.3233,0,0
TimSort,32,sorted,50000,2,0.31,0,0
TimSort,64,sorted,50000,2,0.3145,0,0
TimSort,128,sorted,50000,2,0.5238,0,0
MergeSort,NA,sorted,50000,3,14.4398,401952,784464
TimSort,16,sorted,50000,3,0.3897,0,0
TimSort,32,sorted,50000,3,0.3148,0,0
TimSort,64,sorted,50000,3,0.3123,0,0
TimSort,128,sorted,50000,3,0.3574,0,0
MergeSort,NA,sorted,50000,4,15.1431,401952,784464
TimSort,16,sorted,50000,4,0.4697,0,0
TimSort,32,sorted,50000,4,0.3114,0,0
TimSort,64,sorted,50000,4,0.3149,0,0
TimSort,128,sorted,50000,4,0.3991,0,0
MergeSort,NA,sorted,100000,0,30.8717,853904,1668928
TimSort,16,sorted,100000,0,0.6164,0,0
TimSort,32,sorted,100000,0,0.7659,0,0
TimSort,64,sorted,100000,0,0.811,0,0
TimSort,128,sorted,100000,0,0.7664,0,0
MergeSort,NA,sorted,100000,1,30.4858,853904,1668928
TimSort,16,sorted,100000,1,0.6948,0,0
TimSort,32,sorted,100000,1,1.0423,0,0
TimSort,64,sorted,100000,1,0.6733,0,0
TimSort,128,sorted,100000,1,0.9253,0,0
MergeSort,NA,sorted,100000,2,30.1633,853904,1668928
TimSort,16,sorted,100000,2,0.9592,0,0
TimSort,32,sorted,100000,2,0.6261,0,0
TimSort,64,sorted,100000,2,0.7622,0,0
TimSort,128,sorted,100000,2,0.7306,0,0
MergeSort,NA,sorted,100000,3,29.8269,853904,1668928
TimSort,16,sorted,100000,3,0.687,0,0
TimSort,32,sorted,100000,3,0.758,0,0
TimSort,64,sorted,100000,3,0.7209,0,0
TimSort,128,sorted,100000,3,0.7734,0,0
MergeSort,NA,sorted,100000,4,30.7246,853904,1668928
TimSort,16,sorted,100000,4,0.7124,0,0
TimSort,32,sorted,100000,4,0.7643,0,0
TimSort,64,sorted,100000,4,0.7056,0,0
TimSort,128,sorted,100000,4,0.7368,0,0
MergeSort,NA,sorted,500000,0,182.689,4783216,9475712
TimSort,16,sorted,500000,0,3.1762,0,0
TimSort,32,sorted,500000,0,3.9894,0,0
TimSort,64,sorted,500000,0,3.2319,0,0
TimSort,128,sorted,500000,0,4.7908,0,0
MergeSort,NA,sorted,500000,1,169.302,4783216,9475712
TimSort,16,sorted,500000,1,3.1644,0,0
TimSort,32,sorted,500000,1,4.2823,0,0
TimSort,64,sorted,500000,1,3.303,0,0
TimSort,128,sorted,500000,1,4.0902,0,0
MergeSort,NA,sorted,500000,2,170.368,4783216,9475712
TimSort,16,sorted,500000,2,3.0672,0,0
TimSort,32,sorted,500000,2,3.7328,0,0
TimSort,64,sorted,500000,2,3.2301,0,0
TimSort,128,sorted,500000,2,3.2548,0,0
MergeSort,NA,sorted,500000,3,177.118,4783216,9475712
TimSort,16,sorted,500000,3,3.0866,0,0
TimSort,32,sorted,500000,3,4.2167,0,0
TimSort,64,sorted,500000,3,4.8211,0,0
TimSort,128,sorted,500000,3,4.4748,0,0
MergeSort,NA,sorted,500000,4,167.13,4783216,9475712
TimSort,16,sorted,500000,4,3.0982,0,0
TimSort,32,sorted,500000,4,4.8675,0,0
TimSort,64,sorted,500000,4,3.2679,0,0
TimSort,128,sorted,500000,4,3.1352,0,0
